4930554H23RIK	4930554H23Rik
AI662729	Scai,Scai
AW045657	Slc1a4,Slc1a4
PRLPO	Prl7c1,Prl7c1
1700049E17RIK1	1700049E17Rik1
D830015G02RIK	D830015G02Rik
SH3P2	Ostf1,Ostf1
AW488255	Ephb1,Ephb1
MMUMIR6342	mmu-mir-6342
4930560M04RIK	Bbip1,Bbip1
SCRIB1	Scrib,Scrib
EG668620	Zfp936,Zfp936
D11ERTD636E	Cpsf4l,Cpsf4l
FREAC10	Foxs1,Foxs1
MUSTANG	Mustn1,Mustn1
AU018624	Cttnbp2nl,Cttnbp2nl
ZNF112	Zfp112,Zfp112
SEZ6L	Sez6l
D230034E10RIK	Adamts19,Adamts19
0610008I02RIK	Fxyd4,Fxyd4
BC026585	BC026585
2900053A11RIK	Sort1,Sort1
4932411G09RIK	Lats2,Lats2
A730008L03RIK	Nelfb,Nelfb,Nelfb
OLFR694	Olfr694
BC026588	Lemd2,Lemd2
P49STRAP	Srfbp1,Srfbp1
ENSMUSG00000050299	Gm9843,Gm9843
PRKAR2A	Prkar2a
LVM	Mlc1,Mlc1
GM13476	Gm13476
P2XM	P2rx6,P2rx6
D7ERTD146E	Capns1,Capns1
MAGT1	Magt1
MOR26112	Olfr446,Olfr446
MOR26113	Olfr448,Olfr448
D11ERTD9E	Myo1d,Myo1d
SPA1	Sipa1,Sipa1
TREK2	Kcnk10,Kcnk10
SEMAZ	Sema6b,Sema6b
SEMAY	Sema6c,Sema6c
TMBIM4	Tmbim4
GPR14	Uts2r,Uts2r
TREK1	Kcnk2,Kcnk2
4732407F15RIK	Krt26,Krt26
IDB1	Id1,Id1
ITGA2B	Itga2b
IDB3	Id3,Id3
IDB2	Id2,Id2
SEMAW	Sema4f,Sema4f
IDB4	Id4,Id4
TMBIM2	Faim2,Faim2
SEMAK	Sema3f,Sema3f
SEMAJ	Sema4d,Sema4d
SEMAI	Sema4c
SEMAH	Sema3e,Sema3e
SEMAN	Sema6b,Sema6b
LANP	Anp32a,Anp32a
SEMAC	Sema4b,Sema4b
SEMAB	Sema4a,Sema4a
SEMAA	Sema3b,Sema3b
SEMAG	Sema5b,Sema5b
SEMAF	Sema4c,Sema5a
SEMAE	Sema3c,Sema3c
SEMAD	Sema3a,Sema3a
GM13752	Gm13752
AW413130	Pacsin3,Pacsin3
GM15458	Gm15458
NLGN2	Nlgn2
NLGN3	Nlgn3
PHACTR3	Phactr3
NUP107	Nup107
8430414N03RIK	Pappa,Pag1,Pappa,Pappa
C130031G21RIK	Mettl2,Mettl2
SEMA1	Sema3a,Sema3a
AI452214	Dclre1b,Dclre1b
SEMA5	Sema3b,Sema3b
SEMA4	Sema3f,Sema3f
RHEB2	Rhebl1,Rhebl1
C130028L17	Dopey1,Dopey1
2410018A12RIK	Cenph,Cenph,Cenph
1190017O12RIK	Smim11,Smim11
1010001G17RIK	B3gnt4,B3gnt4
A630055H10RIK	Cpeb2,Cpeb2
P382	Mapk11,Mapk11
SPAK	Stk39,Stk39
25KDA	Polr2e,Nudt21,Snapin,Srsf9,Fkbp3
6330437E22RIK	Sfswap,Sfswap
P2X6	P2rx6,P2rx6
P2X7	P2rx7,P2rx7
P2X4	P2rx4,P2rx4
